epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.78549,1.33034,3.44055,1.14856,0.00455,0.32609,0.01225,0.00352,1.45614,3.59324,1.25786,2e-05,2e-05,2e-05
2,17.2815,1.69034,3.32473,1.50104,0.00545,0.3913,0.01126,0.00608,1.2394,3.50249,1.13639,5.8812e-05,5.8812e-05,5.8812e-05
3,25.8711,0.91821,3.35052,0.93781,0.00667,0.47826,0.05704,0.03691,0.95135,3.38641,0.98212,9.604e-05,9.604e-05,9.604e-05
4,34.0906,0.94789,3.67388,1.10494,0.01182,0.84783,0.10155,0.06649,0.75808,3.24362,0.93071,0.000131684,0.000131684,0.000131684
5,42.5229,0.96581,2.79929,0.96156,0.01212,0.86957,0.12802,0.09827,0.68459,3.19115,0.89773,0.000165744,0.000165744,0.000165744
6,50.8441,1.01399,2.48187,0.96316,0.01212,0.86957,0.13427,0.11278,0.73541,3.17557,0.88915,0.00019822,0.00019822,0.00019822
7,59.1066,1.02221,2.2517,1.01811,0.01212,0.86957,0.1353,0.10568,0.87598,3.1373,0.90675,0.000229112,0.000229112,0.000229112
8,67.5715,1.05113,2.9332,1.08108,0.01212,0.86957,0.14488,0.11093,0.8934,3.10203,0.89791,0.00025842,0.00025842,0.00025842
9,76.0394,1.04035,2.1219,1.03416,0.01242,0.8913,0.13896,0.10304,0.80306,3.04684,0.89776,0.000286144,0.000286144,0.000286144
10,84.3449,1.1641,3.26562,1.15482,0.01242,0.8913,0.14052,0.10249,0.70069,2.98819,0.89113,0.000312284,0.000312284,0.000312284
11,92.7141,0.71801,1.27989,0.90916,0.01242,0.8913,0.2198,0.15214,0.62818,2.8926,0.88873,0.00033684,0.00033684,0.00033684
12,101.181,1.07939,1.34636,0.93941,0.01242,0.8913,0.2198,0.15214,0.62818,2.8926,0.88873,0.000359812,0.000359812,0.000359812
13,109.478,0.43592,39.0645,0.467,0.01242,0.8913,0.46834,0.36171,0.64921,2.79286,0.89836,0.0003812,0.0003812,0.0003812
14,118.072,0.81529,1.24774,0.90745,0.01242,0.8913,0.62821,0.4994,0.70005,2.75784,0.91031,0.000401004,0.000401004,0.000401004
15,126.287,0.87384,1.24475,0.9222,0.01242,0.8913,0.62821,0.4994,0.70005,2.75784,0.91031,0.000419224,0.000419224,0.000419224
16,134.826,1.1694,2.53591,1.03313,0.01242,0.8913,0.65821,0.52034,0.67926,2.74509,0.90949,0.00043586,0.00043586,0.00043586
17,143.125,0.65197,1.84734,0.82051,0.01242,0.8913,0.4973,0.37524,0.67232,2.78833,0.91408,0.000450912,0.000450912,0.000450912
18,151.313,0.79938,1.38111,0.94147,0.01242,0.8913,0.4973,0.37524,0.67232,2.78833,0.91408,0.00046438,0.00046438,0.00046438
19,159.502,0.88902,1.27748,0.97282,0.01212,0.86957,0.21886,0.1755,0.61999,2.84335,0.89415,0.000476264,0.000476264,0.000476264
20,167.974,0.57472,4.25659,0.82427,0.01212,0.86957,0.21886,0.1755,0.61999,2.84335,0.89415,0.000486564,0.000486564,0.000486564
21,1889.01,1.51356,4.64932,1.51669,0.01182,0.84783,0.17147,0.13227,0.66907,2.94046,0.89522,0.00049528,0.00049528,0.00049528
22,1900.68,1.07574,2.41026,1.25698,0.01182,0.84783,0.17147,0.13227,0.66907,2.94046,0.89522,0.000502412,0.000502412,0.000502412
23,1908.9,1.30745,2.33928,1.34744,0.81454,0.09644,0.16631,0.12184,0.73064,2.93713,0.9092,0.00050796,0.00050796,0.00050796
24,1918.12,0.86104,2.13465,1.01484,0.81454,0.09644,0.16631,0.12184,0.73064,2.93713,0.9092,0.000511924,0.000511924,0.000511924
25,1926.79,0.69942,1.78944,0.93685,0.88058,0.04348,0.31256,0.24346,0.73667,2.83499,0.90211,0.000514304,0.000514304,0.000514304
